Time (s),Normal Strain,Shear Strain
0.0,0.0,0.0
0.010005,1.3e-05,2.3e-05
0.02001,2.6e-05,4.7e-05
0.030015,4e-05,7e-05
0.04002,5.3e-05,9.3e-05
0.050025,6.6e-05,0.000116
0.06003,7.9e-05,0.00014
0.070035,9.2e-05,0.000163
0.08004,0.000106,0.000186
0.090045,0.000119,0.000209
0.10005,0.000132,0.000232
0.110055,0.000145,0.000256
0.12006,0.000158,0.000279
0.130065,0.000171,0.000302
0.14007,0.000185,0.000325
0.150075,0.000198,0.000348
0.16008,0.000211,0.000372
0.170085,0.000224,0.000395
0.18009,0.000237,0.000418
0.190095,0.00025,0.000441
0.2001,0.000263,0.000464
0.210105,0.000276,0.000487
0.22011,0.00029,0.00051
0.230115,0.000303,0.000533
0.24012,0.000316,0.000556
0.250125,0.000329,0.000579
0.26013,0.000342,0.000602
0.270135,0.000355,0.000625
0.28014,0.000368,0.000648
0.290145,0.000381,0.000671
0.30015,0.000394,0.000694
0.310155,0.000407,0.000716
0.32016,0.00042,0.000739
0.330165,0.000433,0.000762
0.34017,0.000445,0.000785
0.350175,0.000458,0.000808
0.36018,0.000471,0.00083
0.370185,0.000484,0.000853
0.38019,0.000497,0.000875
0.390195,0.00051,0.000898
0.4002,0.000523,0.000921
0.410205,0.000535,0.000943
0.42021,0.000548,0.000966
0.430215,0.000561,0.000988
0.44022,0.000573,0.00101
0.450225,0.000586,0.001033
0.46023,0.000599,0.001055
0.470235,0.000611,0.001077
0.48024,0.000624,0.0011
0.490245,0.000637,0.001122
0.50025,0.000649,0.001144
0.510255,0.000662,0.001166
0.52026,0.000674,0.001188
0.530265,0.000687,0.00121
0.54027,0.000699,0.001232
0.550275,0.000712,0.001254
0.56028,0.000724,0.001276
0.570285,0.000736,0.001298
0.58029,0.000749,0.001319
0.590295,0.000761,0.001341
0.6003,0.000773,0.001363
0.610305,0.000786,0.001384
0.62031,0.000798,0.001406
0.630315,0.00081,0.001427
0.64032,0.000822,0.001449
0.650325,0.000834,0.00147
0.66033,0.000847,0.001491
0.670335,0.000859,0.001513
0.68034,0.000871,0.001534
0.690345,0.000883,0.001555
0.70035,0.000895,0.001576
0.710355,0.000906,0.001597
0.72036,0.000918,0.001618
0.730365,0.00093,0.001639
0.74037,0.000942,0.00166
0.750375,0.000954,0.001681
0.76038,0.000966,0.001701
0.770385,0.000977,0.001722
0.78039,0.000989,0.001742
0.790395,0.001001,0.001763
0.8004,0.001012,0.001783
0.810405,0.001024,0.001804
0.82041,0.001035,0.001824
0.830415,0.001047,0.001844
0.84042,0.001058,0.001864
0.850425,0.001069,0.001884
0.86043,0.001081,0.001904
0.870435,0.001092,0.001924
0.88044,0.001103,0.001944
0.890445,0.001115,0.001964
0.90045,0.001126,0.001983
0.910455,0.001137,0.002003
0.92046,0.001148,0.002023
0.930465,0.001159,0.002042
0.94047,0.00117,0.002061
0.950475,0.001181,0.002081
0.96048,0.001192,0.0021
0.970485,0.001203,0.002119
0.98049,0.001213,0.002138
0.990495,0.001224,0.002157
1.0005,0.001235,0.002176
1.010505,0.001246,0.002195
1.02051,0.001256,0.002213
1.030515,0.001267,0.002232
1.04052,0.001277,0.00225
1.050525,0.001288,0.002269
1.06053,0.001298,0.002287
1.070535,0.001308,0.002305
1.08054,0.001319,0.002323
1.090545,0.001329,0.002341
1.10055,0.001339,0.002359
1.110555,0.001349,0.002377
1.12056,0.001359,0.002395
1.130565,0.001369,0.002413
1.14057,0.001379,0.00243
1.150575,0.001389,0.002448
1.16058,0.001399,0.002465
1.170585,0.001409,0.002483
1.18059,0.001419,0.0025
1.190595,0.001428,0.002517
1.2006,0.001438,0.002534
1.210605,0.001448,0.002551
1.22061,0.001457,0.002568
1.230615,0.001467,0.002584
1.24062,0.001476,0.002601
1.250625,0.001486,0.002617
1.26063,0.001495,0.002634
1.270635,0.001504,0.00265
1.28064,0.001513,0.002666
1.290645,0.001522,0.002682
1.30065,0.001531,0.002698
1.310655,0.00154,0.002714
1.32066,0.001549,0.00273
1.330665,0.001558,0.002745
1.34067,0.001567,0.002761
1.350675,0.001576,0.002776
1.36068,0.001585,0.002792
1.370685,0.001593,0.002807
1.38069,0.001602,0.002822
1.390695,0.00161,0.002837
1.4007,0.001619,0.002852
1.410705,0.001627,0.002867
1.42071,0.001635,0.002881
1.430715,0.001644,0.002896
1.44072,0.001652,0.00291
1.450725,0.00166,0.002925
1.46073,0.001668,0.002939
1.470735,0.001676,0.002953
