Time (s),Normal Strain,Shear Strain
0,0,0
0.001,0,8.733570112126942e-05
0.002,0,0.00017466795437860123
0.003,0,0.0002619933120441736
0.004,0,0.00034930832666239093
0.005,0,0.0004366095511859832
0.006,0,0.0005238935391120901
0.007,0,0.0006111568446183221
0.008,0,0.0006983960226987968
0.009000000000000001,0,0.000785607629300141
0.01,0,0.0008727882214574559
0.011,0,0.0009599343574302403
0.012,0,0.0010470425968382648
0.013000000000000001,0,0.00113410950079739
0.014,0,0.00122113163205533
0.015,0,0.0013081055551273488
0.016,0,0.001395027836431887
0.017,0,0.0014818950444261127
0.018000000000000002,0,0.0015687037497413956
0.019,0,0.001655450525318689
0.02,0,0.001742131946543829
0.021,0,0.0018287445913827266
0.022,0,0.0019152850405164687
0.023,0,0.002001749877476305
0.024,0,0.002088135688778523
0.025,0,0.002174439064059209
0.026000000000000002,0,0.002260656596208882
0.027,0,0.002346784881507001
0.028,0,0.002432820519756337
0.029,0,0.0025187601144172093
0.03,0,0.002604600272741572
0.031,0,0.002690337605906957
0.032,0,0.0027759687291502573
0.033,0,0.0028614902619013504
0.034,0,0.002946898827916559
0.035,0,0.0030321910554119416
0.036000000000000004,0,0.0031173635771963985
0.037,0,0.0032024130308046087
0.038,0,0.003287336058629773
0.039,0,0.003372129308056163
0.04,0,0.0034567894315914813
0.041,0,0.0035413130869990117
0.042,0,0.0036256969374295674
0.043000000000000003,0,0.00370993765155322
0.044,0,0.0037940319036908195
0.045,0,0.0038779763739452866
0.046,0,0.003961767748332667
0.047,0,0.004045402718912978
0.048,0,0.0041288779839207855
0.049,0,0.004212190247895558
0.05,0,0.004295336221811769
0.051000000000000004,0,0.004378312623208736
0.052000000000000005,0,0.004461116176320212
0.053,0,0.0045437436122037
0.054,0,0.004626191668869514
0.055,0,0.00470845709140955
0.056,0,0.004790536632125787
0.057,0,0.0048724270506585
0.058,0,0.004954125114114185
0.059000000000000004,0,0.005035627597193185
0.06,0,0.005116931282317023
0.061,0,0.005198032959755425
0.062,0,0.005278929427753034
0.063,0,0.005359617492655812
0.064,0,0.005440093969037114
0.065,0,0.00552035567982345
0.066,0,0.00560039945641991
0.067,0,0.005680222138835251
0.068,0,0.0057598205758066495
0.069,0,0.005839191624924107
0.07,0,0.0059183321527545105
0.07100000000000001,0,0.00599723903496533
0.07200000000000001,0,0.006075909156447967
0.073,0,0.00615433941144073
0.074,0,0.006232526703651447
0.075,0,0.0063104679463797
0.076,0,0.00638816006263868
0.077,0,0.00646559998527667
0.078,0,0.006542784657098122
0.079,0,0.006619711030984353
0.08,0,0.006696376070013842
0.081,0,0.006772776747582118
0.082,0,0.006848910047521252
0.083,0,0.006924772964218922
0.084,0,0.007000362502737075
0.085,0,0.007075675678930161
0.08600000000000001,0,0.0071507095195629386
0.08700000000000001,0,0.007225461062427862
0.088,0,0.007299927356462009
0.089,0,0.007374105461863603
0.09,0,0.007447992450208053
0.091,0,0.007521585404563573
0.092,0,0.0075948814196063405
0.093,0,0.007667877601735179
0.094,0,0.007740571069185812
0.095,0,0.007812958952144615
0.096,0,0.007885038392861915
0.097,0,0.007956806545764812
0.098,0,0.008028260577569519
0.099,0,0.008099397667393208
0.1,0,0.008170215006865376
0.101,0,0.008240709800238723
