Time (s),Normal Strain,Shear Strain
0,0,0
0.001,2.5132575862235805e-05,0
0.002,5.0264159533410433e-05,0
0.003,7.53937588616327e-05,0
0.004,0.00010052038177334992,0
0.005,0.00012564303631251318,0
0.006,0.00015076073067973818,0
0.007,0.0001758724732714596,0
0.008,0.00020097727271907822,0
0.009000000000000001,0.00022607413792809813,0
0.01,0.0002511620781172535,0
0.011,0.0002762401028576231,0
0.012,0.00030130722211173087,0
0.013000000000000001,0.00032636244627263025,0
0.014,0.00035140478620297266,0
0.015,0.00037643325327405724,0
0.016,0.0004014468594048596,0
0.017,0.00042644461710103965,0
0.018000000000000002,0.0004514255394939268,0
0.019,0.00047638864037947894,0
0.02,0.000501332934257217,0
0.021,0.00052625743636913,0
0.022,0.0005511611627385522,0
0.023,0.0005760431302090087,0
0.024,0.0006009023564830283,0
0.025,0.0006257378601609235,0
0.026000000000000002,0.0006505486607795344,0
0.027,0.0006753337788509355,0
0.028,0.0007000922359011041,0
0.029,0.0007248230545085495,0
0.03,0.0007495252583428984,0
0.031,0.000774197872203441,0
0.032,0.0007988399220576281,0
0.033,0.0008234504350795253,0
0.034,0.0008480284396882185,0
0.035,0.0008725729655861703,0
0.036000000000000004,0.0008970830437975248,0
0.037,0.0009215577067063623,0
0.038,0.0009459959880948987,0
0.039,0.0009703969231816297,0
0.04,0.0009947595486594191,0
0.041,0.0010190829027335287,0
0.042,0.0010433660251595877,0
0.043000000000000003,0.0010676079572815023,0
0.044,0.0010918077420693007,0
0.045,0.0011159644241569172,0
0.046,0.0011400770498799044,0
0.047,0.0011641446673130874,0
0.048,0.0011881663263081396,0
0.049,0.0012121410785310958,0
0.05,0.0012360679774997896,0
0.051000000000000004,0.0012599460786212192,0
0.052000000000000005,0.001283774439228838,0
0.053,0.0013075521186197698,0
0.054,0.0013312781780919465,0
0.055,0.0013549516809811654,0
0.056,0.0013785716926980683,0
0.057,0.0014021372807650361,0
0.058,0.001425647514853003,0
0.059000000000000004,0.0014491014668181828,0
0.06,0.0014724982107387117,0
0.061,0.0014958368229512015,0
0.062,0.0015191163820872044,0
0.063,0.0015423359691095861,0
0.064,0.0015654946673488099,0
0.065,0.0015885915625391226,0
0.066,0.0016116257428546506,0
0.067,0.001634596298945396,0
0.068,0.0016575023239731367,0
0.069,0.001680342913647225,0
0.07,0.001703117166260291,0
0.07100000000000001,0.0017258241827238362,0
0.07200000000000001,0.0017484630666037319,0
0.073,0.0017710329241556058,0
0.074,0.001793532864360129,0
0.075,0.001815961998958187,0
0.076,0.0018383194424859512,0
0.077,0.0018606043123098332,0
0.078,0.0018828157286613302,0
0.079,0.0019049528146717564,0
0.08,0.0019270146964068613,0
0.081,0.001949000502901329,0
0.082,0.0019709093661931664,0
0.083,0.001992740421357963,0
0.084,0.0020144928065430434,0
0.085,0.0020361656630014852,0
0.08600000000000001,0.0020577581351260256,0
0.08700000000000001,0.0020792693704828383,0
0.088,0.0021006985198451823,0
0.089,0.002122044737226936,0
0.09,0.0021433071799159867,0
0.091,0.002164485008507503,0
0.092,0.0021855773869370767,0
0.093,0.0022065834825137206,0
0.094,0.0022275024659527518,0
0.095,0.0022483335114085222,0
0.096,0.0022690757965070263,0
0.097,0.0022897285023783637,0
0.098,0.0023102908136890705,0
0.099,0.0023307619186743044,0
0.1,0.0023511410091698924,0
0.101,0.0023714272806442368,0
0.10200000000000001,0.0023916199322300755,0
0.10300000000000001,0.0024117181667560987,0
0.10400000000000001,0.002431721190778422,0
0.105,0.0024516282146119055,0
0.106,0.0024714384523613375,0
0.107,0.0024911511219524504,0
0.108,0.002510765445162802,0
0.109,0.002530280647652498,0
0.11,0.0025496959589947584,0
0.111,0.0025690106127063375,0
0.112,0.0025882238462777768,0
0.113,0.0026073349012035152,0
0.114,0.002626343023011826,0
0.115,0.0026452474612946074,0
0.116,0.002664047469737007,0
0.117,0.00268274230614688,0
0.11800000000000001,0.002701331232484098,0
0.11900000000000001,0.002719813514889677,0
0.12,0.0027381884237147546,0
0.121,0.002756455233549394,0
0.122,0.0027746132232512196,0
0.123,0.0027926616759738907,0
0.124,0.002810599879195397,0
0.125,0.00282842712474619,0
0.126,0.0028461427088371416,0
0.127,0.0028637459320873244,0
0.128,0.002881236099551628,0
0.129,0.0028986125207481864,0
0.13,0.0029158745096856463,0
0.131,0.00293302138489024,0
0.132,0.0029500524694326957,0
0.133,0.0029669670909549567,0
0.134,0.0029837645816967284,0
0.135,0.0030004442785218385,0
0.136,0.003017005522944415,0
0.137,0.0030334476611548877,0
0.138,0.0030497700440457916,0
0.139,0.0030659720272373995,0
0.14,0.003082052971103157,0
0.14100000000000001,0.0030980122407949355,0
0.14200000000000002,0.003113849206268094,0
0.14300000000000002,0.0031295632423063526,0
0.14400000000000002,0.0031451537285464757,0
0.145,0.003160620049502761,0
0.146,0.003175961594591341,0
0.147,0.003191177758154284,0
0.148,0.0032062679394835062,0
0.149,0.0032212315428444874,0
0.15,0.00323606797749979,0
0.151,0.003250776657732376,0
0.152,0.0032653570028687356,0
0.153,0.0032798084373018093,0
0.154,0.00329413039051371,0
0.155,0.0033083222970982473,0
0.156,0.0033223835967832504,0
0.157,0.0033363137344526845,0
0.158,0.0033501121601685665,0
0.159,0.003363778329192676,0
0.16,0.0033773117020080602,0
0.161,0.0033907117443403327,0
0.162,0.0034039779271787672,0
0.163,0.003417109726797181,0
0.164,0.0034301066247746093,0
0.165,0.0034429681080157745,0
0.166,0.003455693668771341,0
0.167,0.00346828280465796,0
0.168,0.003480735018678103,0
0.169,0.0034930498192396807,0
0.17,0.003505226720175455,0
0.171,0.003517265240762225,0
0.17200000000000001,0.003529164905739813,0
0.17300000000000001,0.003540925245329821,0
0.17400000000000002,0.0035525457952541783,0
0.17500000000000002,0.003564026096753471,0
0.176,0.003575365696605055,0
0.177,0.003586564147140943,0
0.178,0.003597621006265484,0
0.179,0.0036085358374728115,0
0.18,0.0036193082098640783,0
0.181,0.003629937698164468,0
0.182,0.0036404238827399825,0
0.183,0.003650766349614011,0
0.184,0.0036609646904836703,0
0.185,0.003671018502735925,0
0.186,0.003680927389463481,0
0.187,0.003690690959480459,0
0.188,0.003700308827337832,0
0.189,0.0037097806133386457,0
0.19,0.0037191059435530056,0
0.191,0.003728284449832844,0
0.192,0.003737315769826448,0
0.193,0.0037461995469927696,0
0.194,0.0037549354306154964,0
0.195,0.0037635230758169018,0
0.196,0.003771962143571458,0
0.197,0.0037802523007192195,0
0.198,0.0037883932199789775,0
0.199,0.0037963845799611783,0
0.2,0.0038042260651806143,0
0.201,0.0038119173660688755,0
0.202,0.003819458178986572,0
0.203,0.003826848206235322,0
0.20400000000000001,0.0038340871560695036,0
0.20500000000000002,0.003841174742707772,0
0.20600000000000002,0.003848110686344344,0
0.20700000000000002,0.003854894713160039,0
0.20800000000000002,0.0038615265553330956,0
0.209,0.00386800595104974,0
0.21,0.0038743326445145245,0
0.211,0.003880506385960423,0
0.212,0.0038865269316586955,0
0.213,0.003892394043928506,0
0.214,0.0038981074911463086,0
0.215,0.003903667047754989,0
0.216,0.003909072494272774,0
0.217,0.003914323617301888,0
0.218,0.0039194202095369874,0
0.219,0.003924362069773336,0
0.22,0.003929149002914754,0
0.221,0.003933780819981319,0
0.222,0.0039382573381168216,0
0.223,0.003942578380595993,0
0.224,0.003946743776831472,0
0.225,0.003950753362380551,0
0.226,0.003954606978951656,0
0.227,0.003958304474410604,0
0.228,0.003961845702786605,0
0.229,0.0039652305242780265,0
0.23,0.003968458805257912,0
0.231,0.003971530418279255,0
0.232,0.003974445242080034,0
0.233,0.003977203161587996,0
0.234,0.003979804067925201,0
0.23500000000000001,0.00398224785841232,0
0.23600000000000002,0.00398453443657269,0
0.23700000000000002,0.00398666371213612,0
0.23800000000000002,0.003988635601042456,0
0.23900000000000002,0.003990450025444901,0
0.24,0.003992106913713087,0
0.241,0.0039936062004359,0
0.242,0.00399494782642407,0
0.243,0.003996131738712499,0
0.244,0.003997157890562357,0
0.245,0.003998026241462926,0
0.246,0.0039987367571332,0
0.247,0.003999289409523236,0
0.248,0.0039996841768152646,0
0.249,0.003999921043424549,0
0.25,0.004,0
0.251,0.003999921043424549,0
0.252,0.0039996841768152646,0
0.253,0.003999289409523236,0
0.254,0.0039987367571332,0
0.255,0.003998026241462926,0
0.256,0.003997157890562357,0
0.257,0.003996131738712499,0
0.258,0.00399494782642407,0
0.259,0.0039936062004359,0
0.26,0.003992106913713087,0
0.261,0.003990450025444901,0
0.262,0.003988635601042456,0
0.263,0.00398666371213612,0
0.264,0.00398453443657269,0
0.265,0.00398224785841232,0
0.266,0.003979804067925201,0
0.267,0.003977203161587996,0
0.268,0.003974445242080034,0
0.269,0.003971530418279255,0
0.27,0.003968458805257911,0
0.271,0.0039652305242780265,0
0.272,0.003961845702786605,0
0.273,0.003958304474410604,0
0.274,0.003954606978951656,0
0.275,0.0039507533623805505,0
0.276,0.003946743776831472,0
0.277,0.003942578380595993,0
0.278,0.0039382573381168216,0
0.279,0.0039337808199813185,0
0.28,0.003929149002914754,0
0.281,0.003924362069773336,0
0.28200000000000003,0.0039194202095369874,0
0.28300000000000003,0.003914323617301888,0
0.28400000000000003,0.003909072494272773,0
0.28500000000000003,0.0039036670477549896,0
0.28600000000000003,0.0038981074911463086,0
0.28700000000000003,0.003892394043928506,0
0.28800000000000003,0.0038865269316586955,0
0.289,0.003880506385960424,0
0.29,0.003874332644514525,0
0.291,0.0038680059510497406,0
0.292,0.003861526555333096,0
0.293,0.0038548947131600395,0
0.294,0.003848110686344344,0
0.295,0.003841174742707772,0
0.296,0.003834087156069504,0
0.297,0.003826848206235322,0
0.298,0.0038194581789865725,0
0.299,0.0038119173660688755,0
0.3,0.0038042260651806148,0
0.301,0.0037963845799611788,0
0.302,0.0037883932199789775,0
0.303,0.00378025230071922,0
0.304,0.0037719621435714583,0
0.305,0.0037635230758169018,0
0.306,0.003754935430615497,0
0.307,0.0037461995469927696,0
0.308,0.0037373157698264484,0
0.309,0.003728284449832844,0
0.31,0.0037191059435530056,0
0.311,0.0037097806133386457,0
0.312,0.003700308827337832,0
0.313,0.0036906909594804594,0
0.314,0.0036809273894634815,0
0.315,0.0036710185027359252,0
0.316,0.0036609646904836707,0
0.317,0.0036507663496140115,0
0.318,0.0036404238827399825,0
0.319,0.003629937698164468,0
0.32,0.003619308209864078,0
0.321,0.003608535837472811,0
0.322,0.0035976210062654847,0
0.323,0.003586564147140944,0
0.324,0.003575365696605056,0
0.325,0.0035640260967534716,0
0.326,0.0035525457952541783,0
0.327,0.003540925245329821,0
0.328,0.003529164905739813,0
0.329,0.003517265240762225,0
0.33,0.003505226720175454,0
0.331,0.0034930498192396802,0
0.332,0.003480735018678103,0
0.333,0.0034682828046579605,0
0.334,0.003455693668771342,0
0.335,0.0034429681080157745,0
0.336,0.003430106624774609,0
0.337,0.003417109726797181,0
0.338,0.003403977927178767,0
0.339,0.0033907117443403327,0
0.34,0.00337731170200806,0
0.341,0.0033637783291926766,0
0.342,0.003350112160168567,0
0.343,0.003336313734452685,0
0.34400000000000003,0.003322383596783251,0
0.34500000000000003,0.003308322297098247,0
0.34600000000000003,0.0032941303905137096,0
0.34700000000000003,0.0032798084373018093,0
0.34800000000000003,0.003265357002868735,0
0.34900000000000003,0.003250776657732375,0
0.35000000000000003,0.00323606797749979,0
0.35100000000000003,0.003221231542844488,0
0.352,0.0032062679394835075,0
0.353,0.003191177758154285,0
0.354,0.003175961594591342,0
0.355,0.003160620049502762,0
0.356,0.003145153728546476,0
0.357,0.003129563242306353,0
0.358,0.003113849206268094,0
0.359,0.0030980122407949355,0
0.36,0.003082052971103157,0
0.361,0.0030659720272373995,0
0.362,0.0030497700440457924,0
0.363,0.003033447661154888,0
0.364,0.003017005522944416,0
0.365,0.003000444278521839,0
0.366,0.002983764581696729,0
0.367,0.0029669670909549567,0
0.368,0.0029500524694326957,0
0.369,0.00293302138489024,0
0.37,0.002915874509685646,0
0.371,0.0028986125207481877,0
0.372,0.0028812360995516284,0
0.373,0.0028637459320873253,0
0.374,0.002846142708837142,0
0.375,0.0028284271247461905,0
0.376,0.002810599879195397,0
0.377,0.0027926616759738907,0
0.378,0.0027746132232512196,0
0.379,0.0027564552335493935,0
0.38,0.0027381884237147555,0
0.381,0.0027198135148896775,0
0.382,0.0027013312324840983,0
0.383,0.0026827423061468805,0
0.384,0.002664047469737007,0
0.385,0.0026452474612946074,0
0.386,0.0026263430230118257,0
0.387,0.002607334901203515,0
0.388,0.0025882238462777768,0
0.389,0.002569010612706338,0
0.39,0.0025496959589947593,0
0.391,0.0025302806476524982,0
0.392,0.0025107654451628023,0
0.393,0.0024911511219524504,0
0.394,0.0024714384523613375,0
0.395,0.0024516282146119055,0
0.396,0.0024317211907784212,0
0.397,0.0024117181667560983,0
